d,sales,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28
d_29,29908,2011-02-26,11105,Saturday,1,2,2011,0,0,0,31689.0,34833.0,32631.0,23888.714285714286,24760.428571428572,26141.428571428572
d_30,28707,2011-02-27,11105,Sunday,2,2,2011,0,0,0,29283.0,36380.0,31749.0,23806.428571428572,24212.35714285714,26032.785714285714
d_31,21240,2011-02-28,11105,Monday,3,2,2011,0,0,0,23966.0,21804.0,23783.0,23417.0,24172.071428571428,25941.964285714286
d_32,22872,2011-03-01,11105,Tuesday,4,3,2011,1,1,0,20501.0,24070.0,25412.0,23755.714285714286,24086.5,25851.25
d_33,22046,2011-03-02,11105,Wednesday,5,3,2011,1,0,1,20757.0,21443.0,19146.0,23939.85714285714,24129.571428571428,25954.821428571428
d_34,23475,2011-03-03,11105,Thursday,6,3,2011,1,1,1,20277.0,20318.0,29211.0,24396.714285714286,24355.071428571428,25749.964285714286
d_35,23572,2011-03-04,11105,Friday,7,3,2011,1,0,0,22529.0,23721.0,28010.0,24545.714285714286,24344.428571428572,25591.464285714286
d_36,31202,2011-03-05,11106,Saturday,1,3,2011,1,1,1,29908.0,31689.0,37932.0,24730.571428571428,24309.64285714286,25351.10714285714
d_37,34876,2011-03-06,11106,Sunday,2,3,2011,1,1,1,28707.0,29283.0,32736.0,25611.85714285714,24709.14285714286,25427.535714285714
d_38,24562,2011-03-07,11106,Monday,3,3,2011,1,1,0,21240.0,23966.0,25572.0,26086.428571428572,24751.714285714286,25391.464285714286
d_39,22752,2011-03-08,11106,Tuesday,4,3,2011,1,0,1,22872.0,20501.0,23071.0,26069.285714285714,24912.5,25380.071428571428
d_40,22560,2011-03-09,11106,Wednesday,5,3,2011,1,1,1,22046.0,20757.0,23658.0,26142.714285714286,25041.285714285714,25340.85714285714
d_41,22626,2011-03-10,11106,Thursday,6,3,2011,1,0,0,23475.0,20277.0,23756.0,26021.428571428572,25209.071428571428,25300.5
d_42,25572,2011-03-11,11106,Friday,7,3,2011,0,1,1,23572.0,22529.0,26445.0,26307.14285714286,25426.428571428572,25269.321428571428
d_43,32225,2011-03-12,11107,Saturday,1,3,2011,0,1,1,31202.0,29908.0,34833.0,26453.285714285714,25591.928571428572,25176.178571428572
d_44,31417,2011-03-13,11107,Sunday,2,3,2011,0,1,0,34876.0,28707.0,36380.0,25959.14285714286,25785.5,24998.928571428572
d_45,24935,2011-03-14,11107,Monday,3,3,2011,0,0,1,24562.0,21240.0,21804.0,26012.428571428572,26049.428571428572,25110.75
d_46,24021,2011-03-15,11107,Tuesday,4,3,2011,0,1,1,22752.0,22872.0,24070.0,26193.714285714286,26131.5,25109.0
