d,FOODS_3_090,FOODS_3_586,FOODS_3_252,FOODS_3_555,FOODS_3_714,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_1,1046,516,289,321,238,2011-01-29,11101,Saturday,1,1,2011,0,0,0
d_2,1036,479,273,315,215,2011-01-30,11101,Sunday,2,1,2011,0,0,0
d_3,673,328,157,214,141,2011-01-31,11101,Monday,3,1,2011,0,0,0
d_4,642,376,172,204,144,2011-02-01,11101,Tuesday,4,2,2011,1,1,0
d_5,531,319,132,159,96,2011-02-02,11101,Wednesday,5,2,2011,1,0,1
d_6,877,430,218,265,139,2011-02-03,11101,Thursday,6,2,2011,1,1,1
d_7,1117,405,227,240,169,2011-02-04,11101,Friday,7,2,2011,1,0,0
d_8,1311,624,363,425,277,2011-02-05,11102,Saturday,1,2,2011,1,1,1
d_9,1306,537,255,355,219,2011-02-06,11102,Sunday,2,2,2011,1,1,1
d_10,517,432,204,224,166,2011-02-07,11102,Monday,3,2,2011,1,1,0
d_11,5,386,179,253,143,2011-02-08,11102,Tuesday,4,2,2011,1,0,1
d_12,0,391,183,190,136,2011-02-09,11102,Wednesday,5,2,2011,1,1,1
d_13,0,369,216,235,163,2011-02-10,11102,Thursday,6,2,2011,1,0,0
d_14,0,529,256,325,214,2011-02-11,11102,Friday,7,2,2011,0,1,1
d_15,0,713,449,438,346,2011-02-12,11103,Saturday,1,2,2011,0,1,1
d_16,0,713,429,388,311,2011-02-13,11103,Sunday,2,2,2011,0,1,0
d_17,0,452,248,211,198,2011-02-14,11103,Monday,3,2,2011,0,0,1
d_18,0,462,260,235,186,2011-02-15,11103,Tuesday,4,2,2011,0,1,1
d_19,0,385,208,249,144,2011-02-16,11103,Wednesday,5,2,2011,0,0,0
d_20,0,399,208,268,151,2011-02-17,11103,Thursday,6,2,2011,0,0,0
d_21,0,489,258,347,197,2011-02-18,11103,Friday,7,2,2011,0,0,0
d_22,0,608,367,381,266,2011-02-19,11104,Saturday,1,2,2011,0,0,0
d_23,0,564,310,309,229,2011-02-20,11104,Sunday,2,2,2011,0,0,0
d_24,0,378,265,246,183,2011-02-21,11104,Monday,3,2,2011,0,0,0
d_25,0,434,212,241,172,2011-02-22,11104,Tuesday,4,2,2011,0,0,0
d_26,0,397,199,221,160,2011-02-23,11104,Wednesday,5,2,2011,0,0,0
d_27,0,381,189,243,147,2011-02-24,11104,Thursday,6,2,2011,0,0,0
d_28,0,488,256,292,218,2011-02-25,11104,Friday,7,2,2011,0,0,0
d_29,0,568,332,344,230,2011-02-26,11105,Saturday,1,2,2011,0,0,0
d_30,0,568,336,382,237,2011-02-27,11105,Sunday,2,2,2011,0,0,0
d_31,0,357,256,193,160,2011-02-28,11105,Monday,3,2,2011,0,0,0
d_32,0,448,262,289,170,2011-03-01,11105,Tuesday,4,3,2011,1,1,0
d_33,0,416,240,263,158,2011-03-02,11105,Wednesday,5,3,2011,1,0,1
d_34,0,454,230,274,189,2011-03-03,11105,Thursday,6,3,2011,1,1,1
d_35,0,508,257,322,235,2011-03-04,11105,Friday,7,3,2011,1,0,0
d_36,0,618,340,401,296,2011-03-05,11106,Saturday,1,3,2011,1,1,1
d_37,0,617,315,383,254,2011-03-06,11106,Sunday,2,3,2011,1,1,1
d_38,0,410,193,221,165,2011-03-07,11106,Monday,3,3,2011,1,1,0
d_39,0,431,223,250,183,2011-03-08,11106,Tuesday,4,3,2011,1,0,1
d_40,0,416,215,292,143,2011-03-09,11106,Wednesday,5,3,2011,1,1,1
d_41,0,440,205,278,163,2011-03-10,11106,Thursday,6,3,2011,1,0,0
d_42,0,467,279,333,212,2011-03-11,11106,Friday,7,3,2011,0,1,1
d_43,0,625,370,424,271,2011-03-12,11107,Saturday,1,3,2011,0,1,1
d_44,0,556,302,358,239,2011-03-13,11107,Sunday,2,3,2011,0,1,0
d_45,0,413,232,261,182,2011-03-14,11107,Monday,3,3,2011,0,0,1
d_46,0,450,211,297,169,2011-03-15,11107,Tuesday,4,3,2011,0,1,1
d_47,0,395,257,295,181,2011-03-16,11107,Wednesday,5,3,2011,0,0,0
d_48,0,460,257,302,189,2011-03-17,11107,Thursday,6,3,2011,0,0,0
d_49,0,433,247,325,184,2011-03-18,11107,Friday,7,3,2011,0,0,0
d_50,0,540,315,345,249,2011-03-19,11108,Saturday,1,3,2011,0,0,0
d_51,0,640,322,318,208,2011-03-20,11108,Sunday,2,3,2011,0,0,0
d_52,0,418,207,214,156,2011-03-21,11108,Monday,3,3,2011,0,0,0
d_53,0,405,202,228,133,2011-03-22,11108,Tuesday,4,3,2011,0,0,0
d_54,0,394,214,202,120,2011-03-23,11108,Wednesday,5,3,2011,0,0,0
d_55,0,385,192,207,115,2011-03-24,11108,Thursday,6,3,2011,0,0,0
d_56,0,421,224,219,196,2011-03-25,11108,Friday,7,3,2011,0,0,0
d_57,0,543,355,387,230,2011-03-26,11109,Saturday,1,3,2011,0,0,0
d_58,0,549,330,328,225,2011-03-27,11109,Sunday,2,3,2011,0,0,0
d_59,0,371,193,215,125,2011-03-28,11109,Monday,3,3,2011,0,0,0
d_60,0,357,188,199,174,2011-03-29,11109,Tuesday,4,3,2011,0,0,0
