d,sales,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_1,32631,2011-01-29,11101,Saturday,1,1,2011,0,0,0
d_2,31749,2011-01-30,11101,Sunday,2,1,2011,0,0,0
d_3,23783,2011-01-31,11101,Monday,3,1,2011,0,0,0
d_4,25412,2011-02-01,11101,Tuesday,4,2,2011,1,1,0
d_5,19146,2011-02-02,11101,Wednesday,5,2,2011,1,0,1
d_6,29211,2011-02-03,11101,Thursday,6,2,2011,1,1,1
d_7,28010,2011-02-04,11101,Friday,7,2,2011,1,0,0
d_8,37932,2011-02-05,11102,Saturday,1,2,2011,1,1,1
d_9,32736,2011-02-06,11102,Sunday,2,2,2011,1,1,1
d_10,25572,2011-02-07,11102,Monday,3,2,2011,1,1,0
d_11,23071,2011-02-08,11102,Tuesday,4,2,2011,1,0,1
d_12,23658,2011-02-09,11102,Wednesday,5,2,2011,1,1,1
d_13,23756,2011-02-10,11102,Thursday,6,2,2011,1,0,0
d_14,26445,2011-02-11,11102,Friday,7,2,2011,0,1,1
d_15,34833,2011-02-12,11103,Saturday,1,2,2011,0,1,1
d_16,36380,2011-02-13,11103,Sunday,2,2,2011,0,1,0
d_17,21804,2011-02-14,11103,Monday,3,2,2011,0,0,1
d_18,24070,2011-02-15,11103,Tuesday,4,2,2011,0,1,1
d_19,21443,2011-02-16,11103,Wednesday,5,2,2011,0,0,0
d_20,20318,2011-02-17,11103,Thursday,6,2,2011,0,0,0
d_21,23721,2011-02-18,11103,Friday,7,2,2011,0,0,0
d_22,31689,2011-02-19,11104,Saturday,1,2,2011,0,0,0
d_23,29283,2011-02-20,11104,Sunday,2,2,2011,0,0,0
d_24,23966,2011-02-21,11104,Monday,3,2,2011,0,0,0
d_25,20501,2011-02-22,11104,Tuesday,4,2,2011,0,0,0
d_26,20757,2011-02-23,11104,Wednesday,5,2,2011,0,0,0
d_27,20277,2011-02-24,11104,Thursday,6,2,2011,0,0,0
d_28,22529,2011-02-25,11104,Friday,7,2,2011,0,0,0
d_29,29908,2011-02-26,11105,Saturday,1,2,2011,0,0,0
d_30,28707,2011-02-27,11105,Sunday,2,2,2011,0,0,0
d_31,21240,2011-02-28,11105,Monday,3,2,2011,0,0,0
d_32,22872,2011-03-01,11105,Tuesday,4,3,2011,1,1,0
