item_id,dept_id,cat_id,store_id,state_id,sales_units,date,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,sell_price,revenue
FOODS_1_001,FOODS_1,FOODS,CA_1,CA,15,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,16.24,243.59999
FOODS_1_002,FOODS_1,FOODS,CA_1,CA,5,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,15.44,77.2
FOODS_1_003,FOODS_1,FOODS,CA_1,CA,10,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,13.67,136.7
FOODS_2_001,FOODS_2,FOODS,CA_1,CA,6,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,13.62,81.72
FOODS_2_002,FOODS_2,FOODS,CA_1,CA,7,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,17.56,122.92
FOODS_2_003,FOODS_2,FOODS,CA_1,CA,12,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,17.88,214.56
HOUSEHOLD_1_001,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA,4,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,1.55,6.2
HOUSEHOLD_1_002,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA,4,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,9.1,36.4
HOUSEHOLD_1_003,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA,7,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,10.7,74.9
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,2,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,5.18,10.36
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,5,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,4.87,24.349998
HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,4,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,11.52,46.08
FOODS_1_001,FOODS_1,FOODS,CA_2,CA,15,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,4.02,60.3
FOODS_1_002,FOODS_1,FOODS,CA_2,CA,7,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,17.41,121.869995
FOODS_1_003,FOODS_1,FOODS,CA_2,CA,10,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,15.1,151.0
FOODS_2_001,FOODS_2,FOODS,CA_2,CA,4,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,8.07,32.28
FOODS_2_002,FOODS_2,FOODS,CA_2,CA,11,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,17.14,188.54
FOODS_2_003,FOODS_2,FOODS,CA_2,CA,9,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,5.41,48.69
HOUSEHOLD_1_001,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA,3,2015-01-01,Thursday,4,1,2015,No_Event,No_Event,No_Event,No_Event,1,1,1,12.21,36.63
